"Departamento","Provincia","Distrito","Nombre"
"01","00","00","Amazonas"
"01","01","00","Chachapoyas"
"01","01","01","Chachapoyas"
"01","01","02","Asuncion"
"01","01","03","Balsas"
"01","01","04","Cheto"
"01","01","05","Chiliquin"
"01","01","06","Chuquibamba"
"01","01","07","Granada"
"01","01","08","Huancas"
"01","01","09","La Jalca"
"01","01","10","Leimebamba"
"01","01","11","Levanto"
"01","01","12","Magdalena"
"01","01","13","Mariscal Castilla"
"01","01","14","Molinopampa"
"01","01","15","Montevideo"
"01","01","16","Olleros"
"01","01","17","Quinjalca"
"01","01","18","San Francisco de Daguas"
"01","01","19","San Isidro de Maino"
"01","01","20","Soloco"
"01","01","21","Sonche"
"01","02","00","Bagua"
"01","02","01","Bagua"
"01","02","02","Aramango"
"01","02","03","Copallin"
"01","02","04","El Parco"
"01","02","05","Imaza"
"01","02","06","La Peca"
"01","03","00","Bongara"
"01","03","01","Jumbilla"
"01","03","02","Chisquilla"
"01","03","03","Churuja"
"01","03","04","Corosha"
"01","03","05","Cuispes"
"01","03","06","Florida"
"01","03","07","Jazán"
"01","03","08","Recta"
"01","03","09","San Carlos"
"01","03","10","Shipasbamba"
"01","03","11","Valera"
"01","03","12","Yambrasbamba"
"01","04","00","Condorcanqui"
"01","04","01","Nieva"
"01","04","02","El Cenepa"
"01","04","03","Rio Santiago"
"01","05","00","Luya"
"01","05","01","Lamud"
"01","05","02","Camporredondo"
"01","05","03","Cocabamba"
"01","05","04","Colcamar"
"01","05","05","Conila"
"01","05","06","Inguilpata"
"01","05","07","Longuita"
"01","05","08","Lonya Chico"
"01","05","09","Luya"
"01","05","10","Luya Viejo"
"01","05","11","Maria"
"01","05","12","Ocalli"
"01","05","13","Ocumal"
"01","05","14","Pisuquia"
"01","05","15","Providencia"
"01","05","16","San Cristobal"
"01","05","17","San Francisco del Yeso"
"01","05","18","San Jeronimo"
"01","05","19","San Juan de Lopecancha"
"01","05","20","Santa Catalina"
"01","05","21","Santo Tomas"
"01","05","22","Tingo"
"01","05","23","Trita"
"01","06","00","Rodriguez de Mendoza"
"01","06","01","San Nicolas"
"01","06","02","Chirimoto"
"01","06","03","Cochamal"
"01","06","04","Huambo"
"01","06","05","Limabamba"
"01","06","06","Longar"
"01","06","07","Mariscal Benavides"
"01","06","08","Milpuc"
"01","06","09","Omia"
"01","06","10","Santa Rosa"
"01","06","11","Totora"
"01","06","12","Vista Alegre"
"01","07","00","Utcubamba"
"01","07","01","Bagua Grande"
"01","07","02","Cajaruro"
"01","07","03","Cumba"
"01","07","04","El Milagro"
"01","07","05","Jamalca"
"01","07","06","Lonya Grande"
"01","07","07","Yamon"
"02","00","00","Ancash"
"02","01","00","Huaraz"
"02","01","01","Huaraz"
"02","01","02","Cochabamba"
"02","01","03","Colcabamba"
"02","01","04","Huanchay"
"02","01","05","Independencia"
"02","01","06","Jangas"
"02","01","07","La Libertad"
"02","01","08","Olleros"
"02","01","09","Pampas"
"02","01","10","Pariacoto"
"02","01","11","Pira"
"02","01","12","Tarica"
"02","02","00","Aija"
"02","02","01","Aija"
"02","02","02","Coris"
"02","02","03","Huacllan"
"02","02","04","La Merced"
"02","02","05","Succha"
"02","03","00","Antonio Raymondi"
"02","03","01","Llamellin"
"02","03","02","Aczo"
"02","03","03","Chaccho"
"02","03","04","Chingas"
"02","03","05","Mirgas"
"02","03","06","San Juan de Rontoy"
"02","04","00","Asuncion"
"02","04","01","Chacas"
"02","04","02","Acochaca"
"02","05","00","Bolognesi"
"02","05","01","Chiquian"
"02","05","02","Abelardo Pardo Lezameta"
"02","05","03","Antonio Raymondi"
"02","05","04","Aquia"
"02","05","05","Cajacay"
"02","05","06","Canis"
"02","05","07","Colquioc"
"02","05","08","Huallanca"
"02","05","09","Huasta"
"02","05","10","Huayllacayan"
"02","05","11","La Primavera"
"02","05","12","Mangas"
"02","05","13","Pacllon"
"02","05","14","San Miguel de Corpanqui"
"02","05","15","Ticllos"
"02","06","00","Carhuaz"
"02","06","01","Carhuaz"
"02","06","02","Acopampa"
"02","06","03","Amashca"
"02","06","04","Anta"
"02","06","05","Ataquero"
"02","06","06","Marcara"
"02","06","07","Pariahuanca"
"02","06","08","San Miguel de Aco"
"02","06","09","Shilla"
"02","06","10","Tinco"
"02","06","11","Yungar"
"02","07","00","Carlos Fermin Fitzcarrald"
"02","07","01","San Luis"
"02","07","02","San Nicolas"
"02","07","03","Yauya"
"02","08","00","Casma"
"02","08","01","Casma"
"02","08","02","Buena Vista Alta"
"02","08","03","Comandante Noel"
"02","08","04","Yautan"
"02","09","00","Corongo"
"02","09","01","Corongo"
"02","09","02","Aco"
"02","09","03","Bambas"
"02","09","04","Cusca"
"02","09","05","La Pampa"
"02","09","06","Yanac"
"02","09","07","Yupan"
"02","10","00","Huari"
"02","10","01","Huari"
"02","10","02","Anra"
"02","10","03","Cajay"
"02","10","04","Chavin de Huantar"
"02","10","05","Huacachi"
"02","10","06","Huacchis"
"02","10","07","Huachis"
"02","10","08","Huantar"
"02","10","09","Masin"
"02","10","10","Paucas"
"02","10","11","Ponto"
"02","10","12","Rahuapampa"
"02","10","13","Rapayan"
"02","10","14","San Marcos"
"02","10","15","San Pedro de Chana"
"02","10","16","Uco"
"02","11","00","Huarmey"
"02","11","01","Huarmey"
"02","11","02","Cochapeti"
"02","11","03","Culebras"
"02","11","04","Huayan"
"02","11","05","Malvas"
"02","12","00","Huaylas"
"02","12","01","Caraz"
"02","12","02","Huallanca"
"02","12","03","Huata"
"02","12","04","Huaylas"
"02","12","05","Mato"
"02","12","06","Pamparomas"
"02","12","07","Pueblo Libre"
"02","12","08","Santa Cruz"
"02","12","09","Santo Toribio"
"02","12","10","Yuracmarca"
"02","13","00","Mariscal Luzuriaga"
"02","13","01","Piscobamba"
"02","13","02","Casca"
"02","13","03","Eleazar Guzman Barron"
"02","13","04","Fidel Olivas Escudero"
"02","13","05","Llama"
"02","13","06","Llumpa"
"02","13","07","Lucma"
"02","13","08","Musga"
"02","14","00","Ocros"
"02","14","01","Ocros"
"02","14","02","Acas"
"02","14","03","Cajamarquilla"
"02","14","04","Carhuapampa"
"02","14","05","Cochas"
"02","14","06","Congas"
"02","14","07","Llipa"
"02","14","08","San Cristobal de Rajan"
"02","14","09","San Pedro"
"02","14","10","Santiago de Chilcas"
"02","15","00","Pallasca"
"02","15","01","Cabana"
"02","15","02","Bolognesi"
"02","15","03","Conchucos"
"02","15","04","Huacaschuque"
"02","15","05","Huandoval"
"02","15","06","Lacabamba"
"02","15","07","Llapo"
"02","15","08","Pallasca"
"02","15","09","Pampas"
"02","15","10","Santa Rosa"
"02","15","11","Tauca"
"02","16","00","Pomabamba"
"02","16","01","Pomabamba"
"02","16","02","Huayllan"
"02","16","03","Parobamba"
"02","16","04","Quinuabamba"
"02","17","00","Recuay"
"02","17","01","Recuay"
"02","17","02","Catac"
"02","17","03","Cotaparaco"
"02","17","04","Huayllapampa"
"02","17","05","Llacllin"
"02","17","06","Marca"
"02","17","07","Pampas Chico"
"02","17","08","Pararin"
"02","17","09","Tapacocha"
"02","17","10","Ticapampa"
"02","18","00","Santa"
"02","18","01","Chimbote"
"02","18","02","Caceres del Peru"
"02","18","03","Coishco"
"02","18","04","Macate"
"02","18","05","Moro"
"02","18","06","Nepeña"
"02","18","07","Samanco"
"02","18","08","Santa"
"02","18","09","Nuevo Chimbote"
"02","19","00","Sihuas"
"02","19","01","Sihuas"
"02","19","02","Acobamba"
"02","19","03","Alfonso Ugarte"
"02","19","04","Cashapampa"
"02","19","05","Chingalpo"
"02","19","06","Huayllabamba"
"02","19","07","Quiches"
"02","19","08","Ragash"
"02","19","09","San Juan"
"02","19","10","Sicsibamba"
"02","20","00","Yungay"
"02","20","01","Yungay"
"02","20","02","Cascapara"
"02","20","03","Mancos"
"02","20","04","Matacoto"
"02","20","05","Quillo"
